geo_address_key,street_1_norm,city_norm,state_norm,zip_norm,provider_count,address_variant_count,geocoding_source,geocoding_status,geocoding_match_count,geocoded_matched_address,provider_latitude,provider_longitude,geocoded_tiger_line_id,geocoded_side
40 DUKE MEDICINE CIR | DURHAM | NC | 27710,40 DUKE MEDICINE CIR,DURHAM,NC,27710,11,2,Census_Geocoder_Second_Pass,unmatched,0,,,,,
40 DUKE MEDICINE CIR # 2N | DURHAM | NC | 27710,40 DUKE MEDICINE CIR # 2N,DURHAM,NC,27710,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
40 DUKE MEDICINE CIR # 3913 | DURHAM | NC | 27710,40 DUKE MEDICINE CIR # 3913,DURHAM,NC,27710,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
40 DUKE MEDICINE CIR # 3K | DURHAM | NC | 27710,40 DUKE MEDICINE CIR # 3K,DURHAM,NC,27710,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
40 MEDICINE CIRCLE | DURHAM | NC | 27710,40 MEDICINE CIRCLE,DURHAM,NC,27710,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
400 A PRESTIGE PARK | TEAYS VALLEY | WV | 25569,400 A PRESTIGE PARK,TEAYS VALLEY,WV,25569,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
400 RUSSELL AVE | NEW ORLEANS | LA | 70143,400 RUSSELL AVE,NEW ORLEANS,LA,70143,2,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
400 UNIVERSITY HALL DRIVE | BOONE | NC | 28608,400 UNIVERSITY HALL DRIVE,BOONE,NC,28608,2,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
4000 WELLNESS DR | MIDLAND | MI | 48670,4000 WELLNESS DR,MIDLAND,MI,48670,6,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
402 GOODRICH AVE | PORTSMOUTH | NH | 03804,402 GOODRICH AVE,PORTSMOUTH,NH,03804,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
4075 E CAMPUS LOOP S | LINCOLN | NE | 68583,4075 E CAMPUS LOOP S,LINCOLN,NE,68583,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
41 MALL RD LAHEY CLINIC | BURLINGTON | MA | 01805,41 MALL RD LAHEY CLINIC,BURLINGTON,MA,01805,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
41 MALL ROAD | BURLINGTON | MA | 01805,41 MALL ROAD,BURLINGTON,MA,01805,2,2,Census_Geocoder_Second_Pass,unmatched,0,,,,,
4100 GOSS RD | REDSTONE ARSENAL | AL | 35809,4100 GOSS RD,REDSTONE ARSENAL,AL,35809,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
4201 CAMPUS RIDGE DR | MIDLAND | MI | 48670,4201 CAMPUS RIDGE DR,MIDLAND,MI,48670,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
4225 LAPALCO BLVD | MARRERO | LA | 70073,4225 LAPALCO BLVD,MARRERO,LA,70073,2,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
4295 POINT PLEASANT PIKE | DANBORO | PA | 18916,4295 POINT PLEASANT PIKE,DANBORO,PA,18916,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
4300 PERIMETER RD | MALMSTROM AFB | MT | 59402,4300 PERIMETER RD,MALMSTROM AFB,MT,59402,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
4301 GREATHOUSE SPRINGS RD SUITE # RAD ROOM 1064 | JOHNSON | AR | 72741,4301 GREATHOUSE SPRINGS RD SUITE # RAD ROOM 1064,JOHNSON,AR,72741,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
435 DAUER HALL | GAINESVILLE | FL | 32611,435 DAUER HALL,GAINESVILLE,FL,32611,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
455 OVERLOOK AVESW | WASHINGTON | DC | 20375,455 OVERLOOK AVESW,WASHINGTON,DC,20375,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
455 SOUTH STADIUM HALL | KNOXVILLE | TN | 37996,455 SOUTH STADIUM HALL,KNOXVILLE,TN,37996,6,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
4602 DEPT | CAROL STREAM | IL | 60122,4602 DEPT,CAROL STREAM,IL,60122,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
