request_id,street_1_norm,street_2_norm,city_norm,state_norm,zip_norm,provider_count,geocoding_source,geocoding_status,geocoding_match_count,geocoded_matched_address,provider_latitude,provider_longitude,geocoded_tiger_line_id,geocoded_side
1793,TROUT AVE BLDG 141,NAVAL SUBMARINE MEDICAL RESEARCH LABORATORY,GROTON,CT,06349,1,Census_Geocoder,unmatched,0,,,,,
1794,TTUHSC DEPT OF PSYCHIATRY,3601 4TH ST MS 8103,LUBBOCK,TX,79430,1,Census_Geocoder,unmatched,0,,,,,
1795,TTUHSC SCHOOL OF PHARMACY,3601 4TH ST; MS 8162,LUBBOCK,TX,79430,1,Census_Geocoder,unmatched,0,,,,,
1796,U S NAVAL BRANCH HEALTH CLINIC,PSC 451 BOX 340,FPO AE,NY,09834,1,Census_Geocoder,unmatched,0,,,,,
1797,UCDHSC-SON C-288-5,4200 EAST NINTH AVENUE,DENVER,CO,80262,1,Census_Geocoder,unmatched,0,,,,,
1798,UCHC; MARB BUILDING 263 FARMINGTON AVE,,FARMINGTON,CT,06030,1,Census_Geocoder,unmatched,0,,,,,
1799,UCHSC 4200 E 9TH AVE BOX C238,,DENVER,CO,80262,1,Census_Geocoder,matched,1,"4200 E 9TH AVE, DENVER, CO, 80220",39.730974366252,-104.939420066005,177627660,R
1800,UCONN MEDICAL GROUP,263 FARMINGTON AVE,FARMINGTON,CT,06030,1,Census_Geocoder,unmatched,0,,,,,
1801,UCONN MEDICAL GROUP,263 FARMINGTON AVENUE,FARMINGTON,CT,06030,5,Census_Geocoder,unmatched,0,,,,,
1802,UCONN MEDICAL GROUP,PSYCHIATRY ASSOCIATES,FARMINGTON,CT,06030,1,Census_Geocoder,unmatched,0,,,,,
1803,UMASS MEMORIAL HEALTHCARE,55 LAKE AVE NORTH,WORCESTER,MA,01655,1,Census_Geocoder,unmatched,0,,,,,
1804,UNCG ANNA GOVE STUDENT HEALTH CENTER,GRAY DRIVE,GREENSBORO,NC,27402,1,Census_Geocoder,unmatched,0,,,,,
1808,UNIT 26610,WUERZBURG DENTAL ACTIVITY CREDENTIALS OFFICE,APO AE,NC,09244,1,Census_Geocoder,unmatched,0,,,,,
1809,UNIT 26610,WUERZBURG DENTAL ACTIVITY CREDENTIALS OFFICE,APO AE,NY,09244,6,Census_Geocoder,unmatched,0,,,,,
1810,UNIT 26610,WUEZBURG DENTAL ACTIVITY CREDENTIALS OFFICE,APO AE,NY,09244,1,Census_Geocoder,unmatched,0,,,,,
1811,UNIT 2709 BOX 6,,APO,NY,34021,1,Census_Geocoder,unmatched,0,,,,,
1827,UNIV OF CALIFORNIA SCHOOL OF PHARMACY,521 PARNASSUS AVE RM C 152,SAN FRANCISCO,CA,94143,1,Census_Geocoder,unmatched,0,,,,,
1828,UNIV OF COLORADO BOULDER WARDENBURG,119 UCB,BOULDER,CO,80309,1,Census_Geocoder,unmatched,0,,,,,
1829,UNIV OF NEBRASKA MEDICAL CENTER COLLEGE OF NURSING,685330 UNIVERSITY OF NEBRASKA MEDICAL CENTER,OMAHA,NE,68198,1,Census_Geocoder,unmatched,0,,,,,
1831,UNIVERSITY DRIVE C,VA PITTSBURGH HEALTHCARE SYSTEM,PITTSBURGH,PA,15240,2,Census_Geocoder,unmatched,0,,,,,
1832,UNIVERSITY DRIVE C,,PITTSBURGH,PA,15240,2,Census_Geocoder,unmatched,0,,,,,
1833,UNIVERSITY DRIVE C SUITE 132YA,VA PITTSBURGH HEALTHCARE SYSTEM,PITTSBURGH,PA,15240,1,Census_Geocoder,unmatched,0,,,,,
1834,UNIVERSITY OF COLORADO AT DENVER & HEALTH SCIENCES,,DENVER,CO,80262,1,Census_Geocoder,matched,1,"COLORADO ST & DENVER ST, VERNON, CO, 80755",39.946007368704,-102.315613000308,,
1835,UNIVERSITY OF COLORADO HOSPITAL,4200 E 9TH AVE,DENVER,CO,80262,1,Census_Geocoder,unmatched,0,,,,,
1836,UNIVERSITY OF CONNECTICUT HEALTH CENTER PHARMACY,263 FARMINGTON AVENUE MC2205,FARMINGTON,CT,06030,1,Census_Geocoder,unmatched,0,,,,,
1837,UNIVERSITY OF CONNECTICUT HEALTH CTR,263 FARMINGTON AVENUE - MC1614,FARMINGTON,CT,06030,1,Census_Geocoder,unmatched,0,,,,,
1838,UNIVERSITY OF ILLINOIS COLLEGE OF MEDICINE AT PEOR,530 NE GLEN OAK AVE,PEORIA,IL,61637,1,Census_Geocoder,unmatched,0,,,,,
1839,UNIVERSITY OF LOUISVILLE SCHOOL OF DENTISTRY,501 S PRESTON ST,LOUISVILLE,KY,40292,2,Census_Geocoder,unmatched,0,,,,,
1840,UNIVERSITY OF OKLAHOMA COLLEGE OF PHARMACY,1110 N STONEWALL,OKLAHOMA CITY,OK,73190,1,Census_Geocoder,unmatched,0,,,,,
1841,UNIVERSITY OF PITTSBURGH,440 VICTORIA BUILDING,PITTSBURGH,PA,15261,1,Census_Geocoder,unmatched,0,,,,,
