STATE_CLEAN,ZIP_CLEAN,provider_count,individual_provider_count,organization_provider_count,unique_specialty_count,providers_with_specialty,specialty_diversity_ratio,state_provider_count,zip_provider_share_of_state,individual_provider_ratio,organization_provider_ratio
AL,35462,3,1,2,3,3,1.0,3489,0.0008598452278589854,0.3333333333333333,0.6666666666666666
AL,35466,2,1,1,2,2,1.0,3489,0.0005732301519059903,0.5,0.5
AL,35470,2,1,1,2,2,1.0,3489,0.0005732301519059903,0.5,0.5
AL,35473,13,12,1,10,13,0.7692307692307693,3489,0.003725995987388937,0.9230769230769231,0.07692307692307693
AL,35475,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,35476,13,7,6,11,13,0.8461538461538461,3489,0.003725995987388937,0.5384615384615384,0.46153846153846156
AL,35481,2,2,0,1,2,0.5,3489,0.0005732301519059903,1.0,0.0
AL,35501,30,26,4,19,30,0.6333333333333333,3489,0.008598452278589854,0.8666666666666667,0.13333333333333333
AL,35503,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,35504,7,4,3,5,7,0.7142857142857143,3489,0.002006305531670966,0.5714285714285714,0.42857142857142855
AL,35546,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,35549,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,35555,4,2,2,4,4,1.0,3489,0.0011464603038119805,0.5,0.5
AL,35565,9,4,5,7,9,0.7777777777777778,3489,0.0025795356835769563,0.4444444444444444,0.5555555555555556
AL,35570,6,3,3,6,6,1.0,3489,0.0017196904557179708,0.5,0.5
AL,35580,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,35581,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,35592,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,35594,14,11,3,11,14,0.7857142857142857,3489,0.004012611063341932,0.7857142857142857,0.21428571428571427
AL,35601,44,34,10,29,44,0.6590909090909091,3489,0.012611063341931785,0.7727272727272727,0.22727272727272727
AL,35603,9,8,1,7,9,0.7777777777777778,3489,0.0025795356835769563,0.8888888888888888,0.1111111111111111
AL,35611,14,9,5,14,14,1.0,3489,0.004012611063341932,0.6428571428571429,0.35714285714285715
AL,35613,4,4,0,4,4,1.0,3489,0.0011464603038119805,1.0,0.0
AL,35616,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,35618,2,1,1,2,2,1.0,3489,0.0005732301519059903,0.5,0.5
