STATE_CLEAN,ZIP_CLEAN,provider_count,individual_provider_count,organization_provider_count,unique_specialty_count,providers_with_specialty,specialty_diversity_ratio,state_provider_count,zip_provider_share_of_state,individual_provider_ratio,organization_provider_ratio,population,providers_per_10000,individual_providers_per_10000,organization_providers_per_10000
AL,35020,11,5,6,9,11,0.8181818181818182,3489,0.0031527658354829,0.4545454545454545,0.5454545454545454,25308.0,4.346451714872767,1.9756598703967123,2.370791844476055
AL,35021,2,2,0,1,2,0.5,3489,0.0005732301519059,1.0,0.0,,,,
AL,35022,23,18,5,15,23,0.6521739130434783,3489,0.0065921467469188,0.782608695652174,0.217391304347826,23989.0,9.587727708533077,7.503439076243278,2.0842886322897995
AL,35023,9,4,5,7,9,0.7777777777777778,3489,0.0025795356835769,0.4444444444444444,0.5555555555555556,25221.0,3.568454859046033,1.5859799373537924,1.9824749216922406
AL,35031,1,1,0,1,1,1.0,3489,0.0002866150759529,1.0,0.0,7937.0,1.2599218848431397,1.2599218848431397,0.0
AL,35033,1,0,1,1,1,1.0,3489,0.0002866150759529,0.0,1.0,3237.0,3.089280197713933,0.0,3.089280197713933
AL,35034,2,2,0,2,2,1.0,3489,0.0005732301519059,1.0,0.0,5132.0,3.897116134060795,3.897116134060795,0.0
AL,35040,4,4,0,3,4,0.75,3489,0.0011464603038119,1.0,0.0,18819.0,2.1255114511929434,2.1255114511929434,0.0
AL,35043,3,3,0,3,3,1.0,3489,0.0008598452278589,1.0,0.0,15068.0,1.9909742500663656,1.9909742500663656,0.0
AL,35045,13,9,4,9,13,0.6923076923076923,3489,0.0037259959873889,0.6923076923076923,0.3076923076923077,15078.0,8.621833134367954,5.9689614007162755,2.652871733651678
AL,35051,2,2,0,2,2,1.0,3489,0.0005732301519059,1.0,0.0,10101.0,1.9800019800019801,1.9800019800019801,0.0
AL,35052,1,0,1,1,1,1.0,3489,0.0002866150759529,0.0,1.0,214.0,46.72897196261682,0.0,46.72897196261682
AL,35055,24,16,8,19,24,0.7916666666666666,3489,0.0068787618228718,0.6666666666666666,0.3333333333333333,23231.0,10.331023201756274,6.887348801170849,3.4436744005854245
AL,35058,36,30,6,25,36,0.6944444444444444,3489,0.0103181427343078,0.8333333333333334,0.1666666666666666,11003.0,32.718349541034264,27.26529128419522,5.453058256839045
